iter	Logloss
0	0.6845890605
1	0.6763784563
2	0.6682091694
3	0.6618776414
4	0.6557387087
5	0.64902097
6	0.6415786602
7	0.6355893201
8	0.6290919185
9	0.6230740593
10	0.6170822645
11	0.6136795965
12	0.6085511646
13	0.6034417714
14	0.5981136175
15	0.592501562
16	0.5877224162
17	0.583231039
18	0.5782800942
19	0.5742715956
20	0.5699886265
21	0.5664870142
22	0.5627299417
23	0.5599240559
24	0.5555914649
25	0.5521927392
26	0.5488835687
27	0.5464585473
28	0.5432389573
29	0.5406229283
30	0.5378785089
31	0.5343335598
32	0.5321909082
33	0.5296241538
34	0.5266526149
35	0.5242819084
36	0.520867441
37	0.5181373674
38	0.5156046519
39	0.5134727852
40	0.5114764799
41	0.5092214339
42	0.506945308
43	0.5049358585
44	0.5039498205
45	0.5020624631
46	0.5003775662
47	0.499410197
48	0.4978589755
49	0.4965590786
50	0.4946225374
51	0.4934021951
52	0.4917849015
53	0.4898101582
54	0.4881716183
55	0.4870008281
56	0.4855727338
57	0.4838267141
58	0.4821133057
59	0.4811702358
60	0.4797413416
61	0.4786716001
62	0.4774862971
63	0.4758633055
64	0.4747288266
65	0.473827927
66	0.4728441774
67	0.4715869204
68	0.4707137417
69	0.4690925357
70	0.4684537643
71	0.4675811919
72	0.4666040602
73	0.4655389559
74	0.4649260299
75	0.4638975625
76	0.4628443011
77	0.462312763
78	0.4613355382
79	0.4597645291
80	0.4591357576
81	0.4581852618
82	0.4570394799
83	0.4561667859
84	0.4555339525
85	0.4549153214
86	0.454255384
87	0.4536464381
88	0.4530278625
89	0.4519840329
90	0.4514509411
91	0.4510360794
92	0.4504870281
93	0.449942014
94	0.4493628053
95	0.4488406319
96	0.4483887682
97	0.4480151917
98	0.4472235395
99	0.4465463242
100	0.4461075918
101	0.4455831807
102	0.4446236977
103	0.4439809147
104	0.443458407
105	0.4430781984
106	0.4424794982
107	0.4418080225
108	0.4410851528
109	0.4406039819
110	0.4400328218
111	0.4396113552
112	0.4393629527
113	0.4386242713
114	0.4384818434
115	0.4379918158
116	0.4375425958
117	0.4371401201
118	0.4366807614
119	0.4363678676
120	0.4360988371
121	0.4358408171
122	0.4353149889
123	0.4350123556
124	0.4343950074
125	0.4341915782
126	0.4339111218
127	0.433678
128	0.4334084669
129	0.4329325212
130	0.4326721842
131	0.4324277637
132	0.432147716
133	0.4315064676
134	0.4311634809
135	0.430636065
136	0.4303063542
137	0.4300143442
138	0.4297256931
139	0.4290949462
140	0.4287229674
141	0.4282533951
142	0.4280285345
143	0.4273745713
144	0.4270238894
145	0.4267786314
146	0.426521006
147	0.4262355934
148	0.4259660725
149	0.4257169
150	0.4255357523
151	0.4252482116
152	0.4249748292
153	0.4248465476
154	0.4247766487
155	0.4244322335
156	0.423933013
157	0.4236828707
158	0.423486347
159	0.4232529925
160	0.4226655705
161	0.4223230806
162	0.4220577253
163	0.4218476491
164	0.4215966495
165	0.4213152867
166	0.4212508784
167	0.4208386084
168	0.4206608219
169	0.4205505387
170	0.4201218678
171	0.4197529567
172	0.4196528226
173	0.4191580005
174	0.4191094266
175	0.4190536905
176	0.4185363195
177	0.4183025104
178	0.4181740924
179	0.4179260933
180	0.4177078097
181	0.4176401325
182	0.4174310198
183	0.4173802744
184	0.4170153462
185	0.4164884353
186	0.4162969158
187	0.4160866597
188	0.4159711209
189	0.4157768233
190	0.4156166512
191	0.41553634
192	0.4153453529
193	0.4152768035
194	0.4150556953
195	0.414934167
196	0.4146867256
197	0.4144391088
198	0.4142990983
199	0.414042665
200	0.4137067476
201	0.4134944892
202	0.4133246858
203	0.413192417
204	0.4129354319
205	0.4127302302
206	0.4125333559
207	0.412371628
208	0.4118927666
209	0.4116620582
210	0.411446328
211	0.4113516826
212	0.411211166
213	0.4110925315
214	0.410975686
215	0.4108747495
216	0.4107196794
217	0.4103235768
218	0.4100696743
219	0.4096881438
220	0.4096401613
221	0.4095313997
222	0.4094260451
223	0.4092942415
224	0.4091759024
225	0.4089582867
226	0.4088707463
227	0.4084012003
228	0.4081328306
229	0.4080167219
230	0.4076444442
231	0.4073288236
232	0.4070853736
233	0.4069035822
234	0.4066518092
235	0.406361459
236	0.4063341864
237	0.4058955359
238	0.4057126324
239	0.4055732308
240	0.4051381381
241	0.4049902464
242	0.4049314045
243	0.4047569651
244	0.4045395328
245	0.4043833505
246	0.4040191494
247	0.40388442
248	0.4037567164
249	0.4036954102
250	0.4033084478
251	0.4031236573
252	0.402940101
253	0.4025243045
254	0.4023697708
255	0.4022369089
256	0.4020830062
257	0.4018772399
258	0.4017799472
259	0.4015946089
260	0.4013786493
261	0.4011750516
262	0.4009913894
263	0.4009360727
264	0.4006312615
265	0.4004440494
266	0.4002622096
267	0.4000670744
268	0.4000440275
269	0.3996636416
270	0.3995407938
271	0.3995133317
272	0.3993645001
273	0.3992801119
274	0.3991691507
275	0.3991092855
276	0.399027933
277	0.3988243973
278	0.3986766391
279	0.3983621752
280	0.3981017634
281	0.397920227
282	0.3978400964
283	0.3977836987
284	0.3977559612
285	0.397704667
286	0.3975781438
287	0.3972551155
288	0.3971636652
289	0.3969690874
290	0.3969114191
291	0.3968151116
292	0.3967740951
293	0.3967038126
294	0.3965901987
295	0.3964847928
296	0.3962422208
297	0.3961110845
298	0.396060209
299	0.3959024409
300	0.3956874785
301	0.3955093257
302	0.395421603
303	0.3953188419
304	0.3951743645
305	0.3949957805
306	0.3947792384
307	0.3947484128
308	0.3945460795
309	0.3944708153
310	0.3942837911
311	0.3941384892
312	0.3940774927
313	0.3939918687
314	0.393901296
315	0.3938534892
316	0.3937705137
317	0.3936144891
318	0.3934015031
319	0.3933652771
320	0.3931045337
321	0.3928369296
322	0.3926889812
323	0.3924285814
324	0.3923772482
325	0.3922404374
326	0.3921377936
